Age,ShoulderWidth,Waist,Hips,TotalHeight,Size
34,48.26,96.52,60.96,149.86,S
37,50.8,96.52,93.98,172.72,S
1,15.24,33.02,35.56,53.34,S
1,12.7,33.02,38.1,50.8,S
3,15.24,30.48,35.56,55.88,S
4,12.7,35.56,43.18,58.42,S
3,20.32,55.88,50.8,60.96,M
2,220.98,30.48,35.56,48.26,S
1,17.78,30.48,38.1,50.8,S
4,27.94,53.34,55.88,68.58,M
3,25.4,53.34,55.88,60.96,M
4,27.94,58.42,60.96,63.5,M
5,38.1,45.72,50.8,114.3,M
6,35.56,40.64,45.72,109.22,S
7,38.1,40.64,45.72,114.3,S
8,33.02,66.04,68.58,132.08,L
9,38.1,50.8,55.88,139.7,L
10,40.64,58.42,60.96,127.0,L
11,40.64,63.5,71.12,149.86,L
12,35.56,63.5,68.58,152.4,L
13,48.26,60.96,68.58,157.48,L
19,48.26,71.12,71.12,172.72,XL
20,43.18,66.04,71.12,170.18,L
21,45.72,63.5,68.58,175.26,L
22,71.12,55.88,66.04,172.72,S
23,45.72,63.5,66.04,175.26,L
24,45.72,60.96,66.04,182.88,L
25,50.8,66.04,68.58,187.96,XL
26,50.8,71.12,68.58,215.9,XL
27,50.8,81.28,96.52,218.44,XL
20,50.8,81.28,81.28,226.06,XL
1,15.24,30.48,35.56,48.26,S
1,12.7,33.02,38.1,50.8,S
4,22.86,53.34,50.8,96.52,M
4,27.94,60.96,60.96,111.76,M
1,22.86,55.88,50.8,78.74,M
3,22.86,55.88,50.8,50.8,M
3,20.32,55.88,50.8,60.96,M
1,17.78,30.48,35.56,63.5,S
3,25.4,58.42,53.34,48.26,M
4,27.94,53.34,55.88,68.58,M
5,35.56,40.64,45.72,109.22,S
6,38.1,48.26,38.1,129.54,S
7,40.64,50.8,55.88,142.24,S
8,38.1,53.34,50.8,154.94,M
9,40.64,58.42,55.88,154.94,M
10,33.02,68.58,66.04,180.34,L
11,40.64,60.96,63.5,182.88,L
12,38.1,60.96,66.04,180.34,S
13,40.64,60.96,71.12,185.42,L
15,43.18,60.96,63.5,198.12,L
17,45.72,68.58,71.12,200.66,L
17,45.72,71.12,73.66,200.66,L
18,48.26,68.58,71.12,203.2,L
18,48.26,68.58,71.12,208.28,L
20,48.26,71.12,71.12,208.28,L
20,48.26,68.58,71.12,220.98,L
21,43.18,71.12,68.58,215.9,XL
21,45.72,78.74,78.74,218.44,XL
21,50.8,81.28,66.04,226.06,XL
1,15.24,30.48,35.56,50.8,S
1,12.7,33.02,38.1,53.34,S
1,12.7,33.02,38.1,55.88,S
1,12.7,35.56,40.64,58.42,S
1,12.7,35.56,43.18,60.96,S
5,35.56,40.64,45.72,109.22,S
5,38.1,40.64,45.72,111.76,M
5,38.1,45.72,50.8,114.3,M
10,30.48,66.04,60.96,129.54,M
10,30.48,68.58,66.04,132.08,M
10,33.02,66.04,68.58,132.08,L
9,35.56,58.42,73.66,134.62,L
11,38.1,50.8,55.88,137.16,L
11,40.64,58.42,60.96,139.7,L
11,40.64,66.04,71.12,142.24,L
12,43.18,63.5,68.58,144.78,L
12,40.64,63.5,71.12,149.86,L
