Age,ShoulderWidth,ChestWidth,Waist,Hips,TotalHeight,Size
6,9,10,20,9,38,S
6,9,10,21,10,39,S
6,4,9,20,11,37,S
6,5,10,20,10,36,S
6,14,12,22,11,37,S
9,13,13,25,12,50,S
7,9,9,22,12,51,S
6,9,9,20,10,37,S
9,11,13,20,9,37,S
10,14,12,24,13,50,S
12,14,11,21,11,51,S
11,13,12,22,11,50,S
10,13,11,20,10,55,S
6,14,11,22,10,36,S
10,19,11,13,10,43,S
11,19,10,12,12,43,S
13,20,13,12,11,47,S
12,19,13,12,11,46,S
14,20,15,13,13,48,S
14,19,14,12,11,49,S
15,19,13,11,10,46,S
10,19,11,13,11,43,S
10,18,12,12,12,43,S
8,18,9,12,9,42,S
9,19,10,13,10,43,S
6,9,10,21,22,39,S
10,14,11,25,27,28,S
8,13,11,22,24,43,S
7,13,10,25,24,41,S
8,13,10,23,24,44,S
8,13,9,23,25,44,S
9,13,11,24,25,47,S
8,13,11,26,25,46,S
8,11,9,12,24,44,S
10,14,10,26,28,48,S
8,12,9,23,23,44,S
10,13,10,27,26,47,S
8,11,10,23,26,48,S
13,14,14,27,28,54,S
11,13,11,23,23,52,S
13,14,14,27,28,54,S
11,13,12,25,26,51,S
4,10,10,20,20,38,S
11,14,12,24,25,45,S
12,15,12,26,28,44,S
4,10,10,20,20,38,S
11,13,11,23,23,52,S
8,14,12,26,11,48,S
15,14,14,28,23,54,S
8,9,10,21,22,39,S
10,13,10,27,26,47,S
10,14,11,23,11,46,S
7,13,10,25,24,44,S
11,12,13,25,27,43,S
9,10,13,10,12,45,S
6,9,11,11,13,41,S
6,10,12,9,12,43,S
7,10,11,10,14,43,S
7,10,13,11,11,43,S
9,10,12,9,11,45,S
8,10,13,10,14,42,S
10,12,17,11,14,51,S
9,10,12,12,13,46,S
9,11,12,10,14,48,S
12,12,12,12,13,49,S
9,10,13,12,13,44,S
7,11,13,12,11,44,S
8,10,12,10,11,43,S
5,9,12,10,12,39,S
5,9,11,11,10,39,S
12,8,10,6,9,35,S
8,9,11,11,14,44,S
10,12,17,11,17,42,S
5,8,11,11,15,45,S
10,11,15,12,13,48,S
12,10,14,12,25,47,S
13,11,16,14,14,52,S
12,10,14,11,14,46,S
9,11,12,12,11,46,S
6,10,12,10,10,38,S
3,8,11,7,13,32,S
13,12,14,13,15,51,S
13,14,15,12,15,51,S
